model,scores,policy,treated_share,spend_per_1k,late_rate,late_rate_change_pct,contribution_per_1k,delta_per_1k,delta_lo,delta_hi,roi,n_none,n_nudge,n_expedite,n_both
gbdt,raw,margin_global_threshold,0.07472373988415561,103.213175861644,0.09325062646345972,-5.1399916422900205,39338.42002866923,148.31207041104113,102.75549434481701,201.87697698614238,2.43694900552088,22524,1796,3,20
gbdt,raw,margin_budget_50pct,0.040340138848950415,54.27262180092839,0.09551000287556997,-2.84162139573757,39316.60354841655,126.49559015835831,82.96180072737435,178.8299058340343,3.3307440466455294,23361,973,0,9
gbdt,raw,top_10pct_nudge,0.09998767612866122,119.98521135439344,0.09214147804296924,-6.268282490597565,39244.56952231754,54.461564059352156,20.14378504000482,90.59047224820621,1.4539023054974014,21909,2434,0,0
gbdt,raw,top_20pct_nudge,0.20001643182845172,240.01971819414206,0.08811568007230004,-10.363560384454662,39230.84250430035,40.734546042160545,-0.012393665020012054,90.68666669466785,1.1697133316739088,19474,4869,0,0
gbdt,raw,f1_threshold_nudge,0.20248120609620834,242.97744731545004,0.08807460050117077,-10.405348934391967,39228.64952022419,38.541561966008786,-2.746504500808642,88.72350619343064,1.158621972499248,19414,4929,0,0
gbdt,raw,do_nothing,0.0,0.0,0.09830341371236084,0.0,39190.10795825819,0.0,0.0,0.0,,24343,0,0,0
gbdt,raw,youden_threshold_nudge,0.42537895904366757,510.4547508524011,0.08170726697613277,-16.882574174676137,39118.29595831897,-71.81199993920882,-121.46743092028817,-6.104961517767188,0.8593175990246129,13988,10355,0,0
gbdt,raw,nudge_everything,1.0,1199.9999999999998,0.06979419134864231,-29.00125365649813,38733.1239402731,-456.9840179850837,-520.6513332803254,-371.6528444762651,0.6191799850124305,0,24343,0,0
gbdt,raw,top_10pct_both,0.09998767612866122,1706.2599677525368,0.08125539169371072,-17.342248223986623,37976.527740580634,-1213.580217677545,-1293.6871530812175,-1133.8938665096514,0.28874834983319864,21909,0,0,2434
gbdt,raw,top_20pct_both,0.20001643182845172,3366.7213183461363,0.06901367949718605,-29.795236105307144,36619.837681608464,-2570.270276649719,-2669.2667260956564,-2472.848004984947,0.23656577613250898,19474,0,0,4869
gbdt,raw,f1_threshold_both,0.20248120609620834,3407.0140730394774,0.0687261224992811,-30.087755954868367,36587.55943188892,-2602.5485263692717,-2701.9737162769306,-2503.751878047851,0.23612040614570257,19414,0,0,4929
